ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score,category
활용/NNG,4276,3384,7660,0.0006725565169247998,0.0006682653163389093,1.0064214025192866,중립
irs/NNG,3424,4232,7656,0.0005385485299229454,0.000835726601284357,0.6444075479891342,비둘기파
현지/NNG,4361,3151,7512,0.0006859258583510412,0.0006222529585649831,1.102326391396994,중립
방안/NNG,4391,3077,7468,0.0006906444494426558,0.0006076395917183285,1.1366021221388816,중립
원화/NNG,4553,2908,7461,0.0007161248413373745,0.0005742658214874551,1.2470267505777692,중립
etf/NNG,4171,3239,7410,0.0006560414481041487,0.0006396310164366806,1.0256560911615715,중립
이슈/NNG,3918,3478,7396,0.0006162479965648657,0.0006868282417927679,0.8972374155091923,중립
규제/NNG,3862,3482,7344,0.0006074399598605184,0.0006876181535142086,0.8833972121824829,중립
추정/NNG,4289,3047,7336,0.0006746012397311662,0.0006017152538075226,1.1211303610178354,중립
예금/NNG,4031,3288,7319,0.0006340213563432806,0.0006493074350243303,0.9764578721010998,중립
추진/NNG,4541,2754,7295,0.0007142374049007287,0.0005438542202119847,1.3132883378607076,매파
보장/NNG,3803,3478,7281,0.0005981600640470097,0.0006868282417927679,0.870901963037636,중립
지출/NNG,4391,2884,7275,0.0006906444494426558,0.0005695263511588104,1.2126646081211299,중립
