date,title,call_rate
2024-03-26,흑자전환 넥센타이어…2020년 이후 첫 공모채 복귀전,3.472
2024-03-26,"월가 S&P500 목표치, 4200에서 6000까지 극과 극",3.472
2024-03-26,"한솥, 국내산 식재료 사용…가성비로 소비자 입맛 잡아",3.472
2024-03-26,멕시코 낙관론 확산…페소화 레버리지 배팅 1년 만에 최대치,3.472
2024-03-26,"롯데렌탈, 국내 렌탈 업계 최초 무디스 평가 'Baa3' 획득",3.472
2024-03-26,"""AI 확산에 다방면서 수혜""…삼성전기 목표가 상향""-KB",3.472
2024-03-26,"토스뱅크, 전월세대출 갈아타기 서비스 출시",3.472
2024-03-26,주가 오르자…'슈퍼리치' 뭉칫돈 요즘 여기에 몰린다,3.472
2024-03-26,"추억의 '주택은행' 소환한 국힘 후보들…""주담대 금리 확 낮추자""",3.472
2024-03-26,"""과소 긴축리스크 불안감…인플레 민감주 추가 고려""-신한",3.472
2024-03-26,"퇴임 앞둔 서영경 금통위원 ""여성·산업계 출신 위원 필요"" [강진규의 BOK워치]",3.472
2024-03-26,"금융위, 대환대출 담당 사무관에 유학 기회…기수파괴 승진도",3.472
2024-03-26,"'이자 年3.65%' 조국당  총선펀드, 54분 만에 200억원",3.472
2024-03-26,"하이투자증권 ""한은, 7~8월 첫 기준금리 인하 단행""",3.472
2024-03-26,"국고채 금리, 1bp 내외 상승 출발… 10년물, 1.4bp↑",3.472
2024-03-26,"비트코인, 7만달러 회복…""저가 매수세 유입""",3.472
2024-03-26,"코스닥, 개인 ‘사자’ 속 강보합 출발",3.472
2024-03-26,"신한운용 ""신한MAN글로벌하이일드펀드, 3개월 만에 설정액 105억 돌파""",3.472
2024-03-26,"한화운용, 'ARIRANG 머니마켓액티브 ETF' 신규 상장",3.472
2024-03-26,"韓 기대인플레, 5개월 만에 반등… 글로벌 금리 추종하며 약세[채권브리핑]",3.472
2024-03-26,촉매 부족한 뉴욕증시…PCE 발표 앞두고 숨고르기[월스트리트in],3.472
2024-03-26,"""韓 증시, 단기적 상승 속도 부담…반도체·은행 등 조정 시 매수""",3.472
2024-03-26,"삼성전기, AI 확산 수혜주…목표가 10.5%↑-KB",3.472
2024-03-26,"정원주 대우건설 회장 ""해외 도시개발사업 확대…세계 건설 디벨로퍼로 성장""",3.472
2024-03-26,“오늘 코스피 강보합 출발할 것”…EU·中 규제 충격,3.472
2024-03-26,[속보]뉴욕증시 숨고르기에 소폭 하락…엔비디아 0.76%↑,3.472
2024-03-26,NH투자증권 “2분기 원화 가치 약보합…평균 환율 1350원”,3.472
2024-03-26,"한투증권 ""당분간 약달러 전환 기대하기 어렵다""",3.472
2024-03-26,"서영경 금통위원 ""금리 인하는 내수회복에 도움""[일문일답]",3.472
2024-03-26,"토스뱅크, 전월세대출 갈아타기 출시",3.472
2024-03-26,"KB운용, ‘CD금리액티브’ ETF 상장",3.472
2024-03-26,"국고채 20년물, 3.370%에 8000억원 낙찰… 응찰 2조8130억원",3.472
2024-03-26,"[마켓인]카드사, 여전채 대신 신종자본증권…레버리지배율 낮춰라",3.472
2024-03-26,"[마켓인]A급 넥센타이어, 회사채 수요예측서 9000억 넘게 모아",3.472
2024-03-26,"아시아 장서 미국채 금리 추종… 10년물 금리, 2.7bp↑[채권마감]",3.472
2024-03-26,美달러화 따라 출렁이는 엔화…151엔대 중반서 고착,3.472
2024-03-26,"""'포워드 가이던스' 시계 확대 긍정""…서영경, 이창용에 힘 실어줬다[BOK잡담]",3.472
2024-03-26,86운동권 출신 與후보자 일동 “주택은행 부활시켜야”,3.472
2024-03-26,[미리보는 이데일리 신문]타다금지법 4년…혁신기업도 택시도 눈물,3.472
2024-03-26,'대출 갈아타기' 300일간 7조 움직여…4월부턴 잔금 대출도 포함,3.472
2024-03-26,"롯데렌탈, 무디스 투자적격등급 ‘Baa3’ 획득…업계 최초",3.472
2024-03-26,"국고채 보합 흐름에 크레딧 거래 활발… 국고 3년물, 0.2bp↑[채권분석]",3.472
2024-03-26,너도 나도 투자 확대…대세로 발돋움하는 '사모대출',3.472
2024-03-26,"레이, 250억 사모전환사채 발행…사업 확대 및 中생산시설 구축",3.472
2024-03-26,“부동산 투자 손실 확대”…지난해 증권사 순이익 얼마나 급감했나 보니,3.472
2024-03-26,CD금리 ETF 시장 더 커진다···KB자산운용도 새 ETF 상장,3.472
2024-03-26,"롯데렌탈, 무디스 투자적격등급 ‘Baa3’ 획득…韓 렌탈업계 최초",3.472
2024-03-26,신한운용 “글로벌하이일드펀드 출시 3개월만에 설정액 105억 돌파”,3.472
2024-03-26,뉴욕증시 숨고르기…3대 주요지수 하락 [월가월부],3.472
2024-03-26,"“돌려받은 대출 이자로 아이 학원 한번 더”…국힘, 주택은행 부활 제안",3.472
2024-03-26,‘조국펀드’ 조기 마감...“50분만에 200억” 목표액 4배 초과,3.472
2024-03-26,서영경 금통위원 “기준금리 낮춰도 당장 부동산가격 자극 가능성 크지 않아”,3.472
2024-03-26,현대차증권 “비만치료제 주가 아직 고점 아냐”,3.472
2024-03-26,내달 떠나는 서영경 금통위원 “물가안정 도모·금융안정 잘 수행해 왔다”,3.472
2024-03-26,"한화운용, ARIRANG 머니마켓액티브 ETF 신규 상장",3.472
2024-03-25,기술주 잇단 악재로…뉴욕증시 하락 출발,3.482
2024-03-25,"금감원, 다음주 홍콩 ELS 제재 착수…조단위 과징금 나올까",3.482
2024-03-25,'서민 대출상품' 새희망홀씨 공급 규모 3.3% 확대,3.482
2024-03-25,"[마켓PRO] PER 최대 570배…엔비디아도 노리는 로봇株, 올라타도 될까",3.482
2024-03-25,기술주 잇단 악재로…뉴욕증시 하락 출발,3.482
2024-03-25,"""연내 금리 한번만 인하""…파월에 반기 든 Fed 인사들 [정인설의 워싱턴나우]",3.482
2024-03-25,"농협은행, 공적연금 수급자 대상 'NH연금엔대출' 출시",3.482
2024-03-25,"신한리츠, 광화문 G타워 딜클로징…3150억 조달 완료",3.482
2024-03-25,"베이조스·저커버그, '줄줄이' 팔았다…美증시 정점 신호?",3.482
2024-03-25,역대 최대 실적 HD현대건설기계…회사채 수요예측 '완판',3.482
2024-03-25,"日 재무관 ""엔화 약세 현상은 투기적""",3.482
2024-03-25,올해 코스피 3000 돌파하나…증권가 장밋빛 전망 이어져,3.482
2024-03-25,미국의 찝찝한 금리 인하 전망[채권브리핑],3.482
2024-03-25,“빚 감당 못한다”…중소기업 파산 신청 40% 늘었다,3.482
2024-03-25,"NDF, 1342.5원/1343.0원…6.55원 상승",3.482
2024-03-25,"농협은행, 공적연금 수급자 비대면 전용 ‘NH연금엔대출’ 출시",3.482
2024-03-25,올해 최고 수준 근접한 달러화…환율 1340원 안착 시도[외환브리핑],3.482
2024-03-25,"""위안화 가치 급락, 中 주식시장 영향 제한적""",3.482
2024-03-25,美 투자은행 S&P500지수 전망치 상향…‘모스크바’ 테러 긴장감[뉴스새벽배송],3.482
2024-03-25,“코스피 약보합권 출발할 것”…외국인 매수세 주목,3.482
2024-03-25,"""K-로봇, 자금조달 우려 키웠던 금리부담 완화…성장률 전망↑""",3.482
2024-03-25,“올해 코스피 상단 3000까지 높아져…2분기 말 고점”,3.482
